,title,title_count,title_split,new_title,type,match_score,title_level,leftover,token_set,token_set_score,type_1,token_set_title,token_sort,token_sort_score,type_2,token_sort_title,extractOne,extractOne_score,type_3,extractOne_title
375,"manager -transportation, distribution, and database reporting",1,manager transportation distribution and database reporting,,,,manager,transportation distribution database reporting,"(database analyst, 67, common)",67.0,,,"(information architect, 45, great)",45.0,,,"(master data, 55, great)",55.0,,
376,"manager of data management, enterprise data governance",1,manager of data management enterprise data governance,data management,,,manager,data management enterprise data governance,"(data management, 100, great)",100.0,great,data management,"(enterprise data governance, 76, common)",76.0,,,"(data management, 90, great)",90.0,great,data management
377,manager of data governance,1,manager of data governance,data governance,,,manager,,,,,,,,,,,,,
378,manager of data architecture,1,manager of data architecture,data architecture,,,manager,,,,,,,,,,,,,
379,manager it architecture,1,manager it architecture,,,,manager,it architecture,"(data architecture, 89, great)",89.0,,,"(data architecture, 88, great)",88.0,,,"(data architecture, 88, great)",88.0,,
380,manager is data governance process,1,manager is data governance process,data governance,,,manager,is data governance process,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 75, great)",75.0,,,"(data governance, 90, great)",90.0,great,data governance
381,manager enterprise data governance program,1,manager enterprise data governance program,enterprise data governance,,,manager program,,,,,,,,,,,,,
382,manager e&p data and solutions,1,manager data and solutions,,,,manager,data solutions,"(business solutions, 78, common)",78.0,,,"(solutions architect, 73, common)",73.0,,,"(master data governance, 86, great)",86.0,,
383,manager cris support,1,manager cris support,,,,manager,cris support,"(enterprise solutions, 44, common)",44.0,,,"(enterprise solutions, 44, common)",44.0,,,"(chief operating officer, 45, great)",45.0,,
384,manager corporate solutions data governance americas region,1,manager corporate solutions data governance americas region,data governance,,,manager,corporate solutions data governance americas region,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 49, great)",49.0,,,"(data governance, 90, great)",90.0,great,data governance
385,manager business operations - no longer there,1,manager business operations no longer there,,,,manager,business operations no longer there,"(operations analyst, 71, common)",71.0,,,"(business solutions, 57, common)",57.0,,,"(business intelligence, 86, great)",86.0,,
386,"manager - vsource, vzw ps & corporate & scv",1,manager vsource vzw ps corporate scv,,,,manager,vsource vzw ps corporate scv,"(enterprise data governance, 37, common)",37.0,,,"(enterprise data governance, 37, common)",37.0,,,"(chief operating officer, 39, great)",39.0,,
387,manager - tech,1,manager tech,ignore,,,manager,tech,"(architect, 46, common)",46.0,,,"(architect, 46, common)",46.0,,,"(information architect, 68, great)",68.0,,
388,manager - global customer data,1,manager global customer data,,,,manager global,customer data,"(master data, 75, great)",75.0,,,"(data architecture, 60, great)",60.0,,,"(master data governance, 86, great)",86.0,,
389,manager - change management,1,manager change management,,,,manager,change management,"(data management, 80, great)",80.0,,,"(data management, 75, great)",75.0,,,"(data management, 76, great)",76.0,,
390,management consultant,1,management consultant,ignore,,,consultant,management,"(information management, 100, great)",100.0,great,information management,"(data management, 80, great)",80.0,,,"(information management, 90, great)",90.0,great,information management
391,machine learning engineer,1,machine learning engineer,,,,,,,,,,,,,,,,,
392,log,1,log,,,,,,,,,,,,,,,,,
393,lead solutions architect quantitative sciences it,1,lead solutions architect quantitative sciences it,,,,lead,solutions architect quantitative sciences it,"(solutions architect, 100, common)",100.0,common,solutions architect,"(solutions architect, 60, common)",60.0,,,"(information architect, 86, great)",86.0,,
394,lead engineer,1,lead engineer,ignore,,,lead,engineer,"(software engineer, 100, common)",100.0,common,software engineer,"(data engineering, 67, common)",67.0,,,"(master data governance, 45, great)",45.0,,
395,lead data analyst,1,lead data analyst,data analyst,,,lead,,,,,,,,,,,,,
396,lead contracts manager,1,lead contracts manager,ignore,,,lead manager,contracts,"(soa architect, 45, common)",45.0,,,"(soa architect, 45, common)",45.0,,,"(analytics, 44, great)",44.0,,
397,lead associate - financial systems manager,1,lead associate financial systems manager,financial systems,,,lead associate manager,,,,,,,,,,,,,
398,itm,1,itm,,,,,,,,,,,,,,,,,
399,it supervisory specialist,1,it supervisory specialist,,,,specialist,it supervisory,"(data services, 59, great)",59.0,,,"(data services, 59, great)",59.0,,,"(data services, 59, great)",59.0,,
400,it sr mngr,1,it senior mngr,,,,senior,it mngr,"(data manager, 63, great)",63.0,,,"(data manager, 63, great)",63.0,,,"(data manager, 63, great)",63.0,,
401,it specialist / program analyst,1,it specialist program analyst,,,,specialist program,it analyst,"(business analyst, 82, great)",82.0,,,"(data analyst, 82, common)",82.0,,,"(business analyst, 86, great)",86.0,,
402,it sourcing / procurement,1,it sourcing procurement,,,,,,,,,,,,,,,,,
403,it purchasing - procurement and supply,1,it purchasing procurement and supply,,,,,,,,,,,,,,,,,
404,it project manager analytics,1,it project manager analytics,analytics,great,95.0,project manager,,"(analytics, 100, great)",100.0,great,analytics,"(analytics, 86, great)",86.0,,,"(analytics, 95, great)",95.0,great,analytics
405,it process consultant,1,it process consultant,,,,consultant,it process,"(data services, 52, great)",52.0,,,"(data services, 52, great)",52.0,,,"(data services, 52, great)",52.0,,
406,it officer,1,it officer,,,,,,,,,,,,,,,,,
407,it mgr,1,it manager,ignore,,,manager,it,"(architect, 36, common)",36.0,,,"(architect, 36, common)",36.0,,,"(data architect, 90, great)",90.0,great,data architect
408,it manager - enterprise data architecture and data quality,1,it manager enterprise data architecture and data quality,data architecture,,,manager,it enterprise data architecture data quality,"(data architecture, 100, great)",100.0,great,data architecture,"(data architecture, 56, great)",56.0,,,"(data architecture, 90, great)",90.0,great,data architecture
409,it finance,1,it finance,,,,,,,,,,,,,,,,,
410,"it director, mdm",1,it director master data manager,master data,great,95.0,director manager,,"(master data, 100, great)",100.0,great,master data,"(master data, 88, great)",88.0,,,"(master data, 95, great)",95.0,great,master data
411,it director and business partner - gsp americas,1,it director and business partner gsp americas,,,,director,it business partner gsp americas,"(business analyst, 67, great)",67.0,,,"(business analyst, 50, great)",50.0,,,"(business intelligence, 86, great)",86.0,,
412,it business partner / transformative technology leader,1,it business partner transformative technology leader,,,,leader,it business partner transformative technology,"(business analyst, 67, great)",67.0,,,"(business intelligence, 52, great)",52.0,,,"(business intelligence, 86, great)",86.0,,
413,it asset manager,1,it asset manager,,,,manager,it asset,"(data analyst, 50, common)",50.0,,,"(data analyst, 50, common)",50.0,,,"(business intelligence, 54, great)",54.0,,
414,it & portfolio manager,1,it portfolio manager,,,,manager,it portfolio,"(information architect, 48, great)",48.0,,,"(information architect, 48, great)",48.0,,,"(information architect, 50, great)",50.0,,
415,it - lead data architect for harvard data warehouse,1,it lead data architect for harvard data warehouse,data warehouse,,,lead,it data architect harvard data warehouse,"(data warehouse, 100, great)",100.0,great,data warehouse,"(data warehouse, 52, great)",52.0,,,"(data warehouse, 90, great)",90.0,great,data warehouse
416,is procurement,1,is procurement,,,,,,,,,,,,,,,,,
417,is manager data governance,1,is manager data governance,data governance,great,100.0,manager,,"(data governance, 100, great)",100.0,great,data governance,"(data governance, 91, great)",91.0,great,data governance,"(data governance, 95, great)",95.0,great,data governance
418,is governance contact - data steward lead,1,is governance contact data steward lead,data steward,,,lead,is governance contact data steward,"(data steward, 100, great)",100.0,great,data steward,"(master data governance, 71, great)",71.0,,,"(data steward, 90, great)",90.0,great,data steward
419,investment bank cdo,1,investment bank chief data officer,,,,,,,,,,,,,,,,,
420,ing investment management,1,ing investment management,,,,,,,,,,,,,,,,,
421,information technology specialist,1,information technology specialist,information technology,,,specialist,,,,,,,,,,,,,
422,"information technology | bcbs, kgro 2",1,information technology bcbs kgro,,,,,,,,,,,,,,,,,
423,information technology,1,information technology,information technology,common,100.0,,,,,,,,,,,,,,
424,information management strategist,1,information management strategist,information management,,,strategist,,,,,,,,,,,,,
425,information management manager,1,information management manager,information management,,,manager,,,,,,,,,,,,,
426,information management associate,1,information management associate,information management,,,associate,,,,,,,,,,,,,
427,information lifecycle management lead,1,information lifecycle management lead,information management,great,95.0,lead,,"(information management, 100, great)",100.0,great,information management,"(information management, 81, great)",81.0,,,"(information management, 95, great)",95.0,great,information management
428,information architect officer,1,information architect officer,,,,,,,,,,,,,,,,,
429,indirect purchasing,1,indirect purchasing,,,,,,,,,,,,,,,,,
430,immigration law analyst,1,immigration law analyst,,,,,,,,,,,,,,,,,
431,ics solution architect,1,ics solution architect,,,,,,,,,,,,,,,,,
432,ib head of data governance,1,investment banking head of data governance,data governance,,,head,investment banking data governance,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 68, great)",68.0,,,"(data governance, 90, great)",90.0,great,data governance
433,ib finance ref data governance,1,investment banking finance ref data governance,,,,,,,,,,,,,,,,,
434,hotitem dg consultant,1,hotitem data governance consultant,data governance,great,90.0,consultant,,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 80, great)",80.0,,,"(data governance, 90, great)",90.0,great,data governance
435,"health care operations , decision support,  process improvement",1,health care operations decision support process improvement,,,,,,,,,,,,,,,,,
436,"head of worldwide medical contact, content and insight",1,head of worldwide medical contact content and insight,,,,head,worldwide medical contact content insight,"(chief investment officer, 40, common)",40.0,,,"(chief investment officer, 40, common)",40.0,,,"(data architect, 45, great)",45.0,,
437,"head of strategy and architecture, standards",1,head of strategy and architecture standards,,,,head,strategy architecture standards,"(data architecture, 83, great)",83.0,,,"(data architecture, 71, great)",71.0,,,"(data standards, 86, great)",86.0,,
438,head of solution architecture mi-systems,1,head of solution architecture mi systems,,,,head,solution architecture mi systems,"(data architecture, 83, great)",83.0,,,"(solutions architect, 75, common)",75.0,,,"(data architecture, 86, great)",86.0,,
439,head of pmo,1,head of project management office,ignore,,,head project,management,"(information management, 100, great)",100.0,great,information management,"(data management, 80, great)",80.0,,,"(information management, 90, great)",90.0,great,information management
440,head of it integration services,1,head of it integration services,,,,head,it integration services,"(data services, 76, great)",76.0,,,"(data services, 61, great)",61.0,,,"(data services, 86, great)",86.0,,
441,head of it infrastructure,1,head of it infrastructure,,,,head,it infrastructure,"(data architecture, 53, great)",53.0,,,"(data architecture, 53, great)",53.0,,,"(information architect, 53, great)",53.0,,
442,head of information and data governance for commercial banking risk,1,head of information and data governance for commercial banking risk,data governance,,,head,information data governance commercial banking risk,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 55, great)",55.0,,,"(data governance, 90, great)",90.0,great,data governance
443,head of hr data governance and bi,1,head of hr data governance and business intelligence,data governance,,,head,hr data governance business intelligence,"(data governance, 100, great)",100.0,great,data governance,"(business intelligence, 69, great)",69.0,,,"(data governance, 90, great)",90.0,great,data governance
444,head of hr data governance,1,head of hr data governance,data governance,great,100.0,head,,"(data governance, 100, great)",100.0,great,data governance,"(data governance, 91, great)",91.0,great,data governance,"(data governance, 95, great)",95.0,great,data governance
445,head of governance | data solutions,1,head of governance data solutions,,,,head,governance data solutions,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 77, great)",77.0,,,"(data services, 86, great)",86.0,,
446,head of forecasts and network intelligence,1,head of forecasts and network intelligence,,,,head,forecasts network intelligence,"(business intelligence, 73, great)",73.0,,,"(business intelligence, 63, great)",63.0,,,"(business intelligence, 69, great)",69.0,,
447,head of finance design,1,head of finance design,,,,head,finance design,"(business intelligence, 51, great)",51.0,,,"(business intelligence, 51, great)",51.0,,,"(data governance, 46, great)",46.0,,
448,"head of enterprise transformation - regulatory compliance, risk management, accounting and finance",1,head of enterprise transformation regulatory compliance risk management accounting and finance,,,,head,enterprise transformation regulatory compliance risk management accounting finance,"(data management, 80, great)",80.0,,,"(enterprise information management, 45, common)",45.0,,,"(information management, 86, great)",86.0,,
449,head of enterprise architecture,1,head of enterprise architecture,,,,head,enterprise architecture,"(data architecture, 83, great)",83.0,,,"(data architecture, 70, great)",70.0,,,"(data architecture, 79, great)",79.0,,
450,head of design & engineering firmwide practices (uk),1,head of design engineering firmwide practices uk,,,,head firmwide,design engineering practices uk,"(data engineering, 81, common)",81.0,,,"(data engineering, 55, common)",55.0,,,"(analytics, 50, great)",50.0,,
451,"head of data strategy and analytics, financial services",1,head of data strategy and analytics financial services,analytics,,,head,data strategy analytics financial services,"(data services, 100, great)",100.0,great,data services,"(data analytics, 50, common)",50.0,,,"(analytics, 90, great)",90.0,great,analytics
452,"head of data services, it â€“ business intelligence",1,head of data services it business intelligence,data services,,,head,data services it business intelligence,"(data services, 100, great)",100.0,great,data services,"(business intelligence, 71, great)",71.0,,,"(data services, 90, great)",90.0,great,data services
453,head of data and business insight,1,head of data and business insight,,,,head,data business insight,"(business analyst, 70, great)",70.0,,,"(business solutions, 67, common)",67.0,,,"(data services, 86, great)",86.0,,
454,head of data,1,head of data,ignore,,,head,data,"(master data governance, 100, great)",100.0,great,master data governance,"(master data, 53, great)",53.0,,,"(master data governance, 90, great)",90.0,great,master data governance
455,head of business intelligence & analytics,1,head of business intelligence analytics,business intelligence,great,95.0,head,,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 81, great)",81.0,,,"(business intelligence, 95, great)",95.0,great,business intelligence
456,head of business data architecture,1,head of business data architecture,data architecture,,,head,business data architecture,"(data architecture, 100, great)",100.0,great,data architecture,"(data architecture, 79, great)",79.0,,,"(data architecture, 90, great)",90.0,great,data architecture
457,head of bi systems support unit,1,head of business intelligence systems support unit,business intelligence,,,head,business intelligence systems support unit,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 67, great)",67.0,,,"(business intelligence, 90, great)",90.0,great,business intelligence
458,head of architecture and tools,1,head of architecture and tools,,,,head,architecture tools,"(data architecture, 83, great)",83.0,,,"(data architecture, 80, great)",80.0,,,"(data architecture, 79, great)",79.0,,
459,head data management,1,head data management,data management,,,head,,,,,,,,,,,,,
460,"head and architect, enterprise architecture",1,head and architect enterprise architecture,,,,head,architect enterprise architecture,"(architect, 100, common)",100.0,common,architect,"(data architecture, 56, great)",56.0,,,"(information architect, 86, great)",86.0,,
461,hd of data governance/management,1,hd of data governance management,,,,,,,,,,,,,,,,,
462,"group technology, pmda",1,group technology pmda,,,,,,,,,,,,,,,,,
463,group procurement,1,group procurement,,,,,,,,,,,,,,,,,
464,gm,1,gm,,,,,,,,,,,,,,,,,
465,global sourcing specialist,1,global sourcing specialist,,,,global specialist,,,,,,,,,,,,,
466,global sourcing,1,global sourcing,,,,global,,,,,,,,,,,,,
467,global leader - data innovation,1,global leader data innovation,,,,global leader,data innovation,"(data analytics, 62, common)",62.0,,,"(information architect, 61, great)",61.0,,,"(data governance, 60, great)",60.0,,
468,global lead - data architecture,1,global lead data architecture,data architecture,,,global lead,,,,,,,,,,,,,
469,global it procurement,1,global it procurement,,,,global,it procurement,"(data management, 48, great)",48.0,,,"(data management, 48, great)",48.0,,,"(data management, 48, great)",48.0,,
470,global information architect,1,global information architect,information architect,,,global,,,,,,,,,,,,,
471,global information & business solutions,1,global information business solutions,,,,global,information business solutions,"(business solutions, 100, common)",100.0,common,business solutions,"(business solutions, 75, common)",75.0,,,"(business analyst, 86, great)",86.0,,
472,global head of hr technology,1,global head of hr technology,,,,global head,hr technology,"(chief technology officer, 87, common)",87.0,,,"(chief technology officer, 70, common)",70.0,,,"(information architect, 39, great)",39.0,,
473,global head of enterprise data governance,1,global head of enterprise data governance,enterprise data governance,,,global head,,,,,,,,,,,,,
474,global finance information architect,1,global finance information architect,information architect,great,95.0,global,,"(information architect, 100, great)",100.0,great,information architect,"(information architect, 84, great)",84.0,,,"(information architect, 95, great)",95.0,great,information architect
475,global data officer,1,global data officer,chief data officer,great,90.0,global,,"(chief data officer, 100, great)",100.0,great,chief data officer,"(chief data officer, 80, great)",80.0,,,"(chief data officer, 90, great)",90.0,great,chief data officer
476,global data governance lead,1,global data governance lead,data governance,,,global lead,,,,,,,,,,,,,
477,global commodity manager â€“ it & telecom,1,global commodity manager it telecom,,,,global manager,commodity it telecom,"(information technology, 43, common)",43.0,,,"(information technology, 43, common)",43.0,,,"(data architect, 41, great)",41.0,,
478,global account executive ing insurance & inv.man.,1,global account executive ing insurance inv man,,,,global executive,account ing insurance inv man,"(master data governance, 47, great)",47.0,,,"(master data governance, 47, great)",47.0,,,"(data governance, 48, great)",48.0,,
479,geospatial analyst,1,geospatial analyst,,,,,,,,,,,,,,,,,
480,fvp - technology group mgr,1,fvp technology group manager,,,,manager,fvp technology,"(chief technology officer, 83, common)",83.0,,,"(information technology, 67, common)",67.0,,,"(chief operating officer, 32, great)",32.0,,
481,foundational data manager,1,foundational data manager,,,,manager,foundational data,"(data analyst, 62, common)",62.0,,,"(data governance, 56, great)",56.0,,,"(master data, 86, great)",86.0,,
482,former managing director,1,former managing director,ignore,,,managing director,former,"(developer, 40, common)",40.0,,,"(developer, 40, common)",40.0,,,"(chief operating officer, 60, great)",60.0,,
483,firmwide chief data officer,1,firmwide chief data officer,chief data officer,,,firmwide,,,,,,,,,,,,,
484,financial systems director,1,financial systems director,financial systems,,,director,,,,,,,,,,,,,
485,finance director,1,finance director,ignore,,,director,finance,"(financial systems, 58, common)",58.0,,,"(financial systems, 58, common)",58.0,,,"(master data governance, 64, great)",64.0,,
486,external contractor | on behalf of amos business transformation,1,external contractor on behalf of amos business transformation,,,,,,,,,,,,,,,,,
487,"executive director, service delivery",1,executive director service delivery,,,,executive director,service delivery,"(data services, 62, great)",62.0,,,"(data services, 62, great)",62.0,,,"(data services, 59, great)",59.0,,
488,"executive director, operational analytics",1,executive director operational analytics,analytics,great,90.0,executive director,,"(analytics, 100, great)",100.0,great,analytics,"(operations analyst, 82, common)",82.0,,,"(analytics, 90, great)",90.0,great,analytics
489,"executive director, investment managent",1,executive director investment managent,,,,executive director,investment managent,"(chief investment officer, 69, common)",69.0,,,"(information management, 63, great)",63.0,,,"(information management, 63, great)",63.0,,
490,"executive director, enterprise information management",1,executive director enterprise information management,enterprise information management,,,executive director,,,,,,,,,,,,,
491,"executive director, cst data strategy program director; oversight & controls portfolio manager",1,executive director cst data strategy program director oversight controls portfolio manager,,,,executive director program director manager,cst data strategy oversight controls portfolio,"(master data, 53, great)",53.0,,,"(regulatory reporting, 39, common)",39.0,,,"(master data governance, 86, great)",86.0,,
492,"executive director, chief data officer",1,executive director chief data officer,chief data officer,,,executive director,,,,,,,,,,,,,
493,"executive director, advisory and corporate technology",1,executive director advisory and corporate technology,,,,executive director,advisory corporate technology,"(information technology, 63, common)",63.0,,,"(information technology, 63, common)",63.0,,,"(chief operating officer, 40, great)",40.0,,
494,executive director	 corporate & investment bank operations,1,executive director corporate investment bank operations,,,,executive director,corporate investment bank operations,"(operations analyst, 71, common)",71.0,,,"(operations analyst, 59, common)",59.0,,,"(data management, 54, great)",54.0,,
495,executive director technology & data,1,executive director technology data,,,,executive director,technology data,"(chief technology officer, 80, common)",80.0,,,"(information technology, 70, common)",70.0,,,"(master data, 54, great)",54.0,,
496,executive director human resources,1,executive director human resources,,,,executive director,human resources,"(data services, 50, great)",50.0,,,"(data services, 50, great)",50.0,,,"(data services, 50, great)",50.0,,
497,executive director and head of r&d operations it,1,executive director and head of operations it,,,,executive director head,operations it,"(operations analyst, 87, common)",87.0,,,"(operations analyst, 77, common)",77.0,,,"(chief operating officer, 62, great)",62.0,,
498,executive director â–º finance & risk technology â™¦ cloud/mobile solutions â™¦ finance transformation,1,executive director finance risk technology cloud mobile solutions finance transformation,,,,executive director,finance risk technology cloud mobile solutions finance transformation,"(business solutions, 67, common)",67.0,,,"(information technology, 44, common)",44.0,,,"(chief operating officer, 47, great)",47.0,,
499,executive director - sr program manager and pmo lead,1,executive director senior program manager and project management office lead,ignore,,,executive director senior program manager project lead,management,"(information management, 100, great)",100.0,great,information management,"(data management, 80, great)",80.0,,,"(information management, 90, great)",90.0,great,information management
500,executive director - analytics,1,executive director analytics,analytics,,,executive director,,,,,,,,,,,,,
501,executive director - alert,1,executive director alert,ignore,,,executive director,alert,"(analytics, 43, great)",43.0,,,"(analytics, 43, great)",43.0,,,"(data manager, 60, great)",60.0,,
502,executive assistant to ocio/iseo,1,executive assistant to ocio iseo,,,,executive assistant,to ocio iseo,"(chief technology officer, 44, common)",44.0,,,"(chief technology officer, 44, common)",44.0,,,"(chief data officer, 38, great)",38.0,,
503,eu field medical operations manager,1,eu field medical operations manager,,,,manager,eu field medical operations,"(operations analyst, 71, common)",71.0,,,"(operations analyst, 58, common)",58.0,,,"(chief operating officer, 53, great)",53.0,,
504,etl developer â€“ enterprise data services,1,etl developer enterprise data services,,,,,,,,,,,,,,,,,
505,etl developer,1,etl developer,,,,,,,,,,,,,,,,,
506,erp/process transformation,1,erp process transformation,,,,,,,,,,,,,,,,,
507,enterprise services team,1,enterprise services team,,,,,,,,,,,,,,,,,
508,enterprise program manager,1,enterprise program manager,ignore,,,program manager,enterprise,"(enterprise solutions, 100, common)",100.0,common,enterprise solutions,"(enterprise solutions, 67, common)",67.0,,,"(business intelligence, 45, great)",45.0,,
509,"enterprise information management operation lead, avp",1,enterprise information management operation lead assistant vice president,information management,great,90.0,lead assistant vice president,,"(information management, 100, great)",100.0,great,information management,"(enterprise information management, 87, common)",87.0,,,"(information management, 90, great)",90.0,great,information management
510,enterprise information architect,1,enterprise information architect,,,,,,,,,,,,,,,,,
511,enterprise data office,1,enterprise data office,,,,,,,,,,,,,,,,,
512,enterprise data governance senior manager,1,enterprise data governance senior manager,enterprise data governance,,,senior manager,,,,,,,,,,,,,
513,enterprise data governance officer,1,enterprise data governance officer,,,,,,,,,,,,,,,,,
514,enterprise data | industry data standards,1,enterprise data industry data standards,,,,,,,,,,,,,,,,,
515,enterprise data  architect,1,enterprise data architect,,,,,,,,,,,,,,,,,
516,enterprise architect iii,1,enterprise architect iii,,,,,,,,,,,,,,,,,
517,enterprise architecht,1,enterprise architecht,,,,,,,,,,,,,,,,,
518,"eim, strategy &amp; architecture lead",1,enterprise information management strategy amp architecture lead,information management,,,lead,enterprise information management strategy amp architecture,"(information management, 100, great)",100.0,great,information management,"(enterprise information management, 72, common)",72.0,,,"(information management, 90, great)",90.0,great,information management
519,eim manager,1,enterprise information management manager,enterprise information management,,,manager,,,,,,,,,,,,,
520,edm director,1,edm director,ignore,,,director,edm,"(master data, 29, great)",29.0,,,"(master data, 29, great)",29.0,,,"(master data governance, 57, great)",57.0,,
521,dwh responsible,1,dwh responsible,,,,,,,,,,,,,,,,,
522,dw manager,1,data warehouse manager,data warehouse,,,manager,,,,,,,,,,,,,
523,drg / pã´le qualitã© de donnã©es risques,1,drg le qualit de donn es risques,,,,,,,,,,,,,,,,,
524,domain architect,1,domain architect,,,,,,,,,,,,,,,,,
525,director. solution partnerships,1,director solution partnerships,,,,director,solution partnerships,"(enterprise solutions, 68, common)",68.0,,,"(enterprise solutions, 68, common)",68.0,,,"(information architect, 48, great)",48.0,,
526,"director, worldwide medical reporting and insights lead",1,director worldwide medical reporting and insights lead,,,,director lead,worldwide medical reporting insights,"(regulatory reporting, 62, common)",62.0,,,"(regulatory reporting, 43, common)",43.0,,,"(chief operating officer, 41, great)",41.0,,
527,"director, tech integrations it",1,director tech integrations it,,,,director,tech integrations it,"(information technology, 62, common)",62.0,,,"(information technology, 62, common)",62.0,,,"(information architect, 54, great)",54.0,,
528,"director, strategic data services",1,director strategic data services,data services,,,director,strategic data services,"(data services, 100, great)",100.0,great,data services,"(data services, 72, great)",72.0,,,"(data services, 90, great)",90.0,great,data services
529,"director, sales data & analytics",1,director sales data analytics,analytics,great,90.0,director,,"(analytics, 100, great)",100.0,great,analytics,"(data analytics, 82, common)",82.0,,,"(analytics, 90, great)",90.0,great,analytics
530,"director, reference data service",1,director reference data service,,,,director,reference data service,"(data services, 69, great)",69.0,,,"(data services, 69, great)",69.0,,,"(data services, 86, great)",86.0,,
531,"director, project management, strategic investments products and data",1,director project management strategic investments products and data,,,,director project,management strategic investments products data,"(data management, 100, great)",100.0,great,data management,"(assessor quality management, 52, common)",52.0,,,"(master data governance, 86, great)",86.0,,
532,"director, policy, architecture and governance",1,director policy architecture and governance,,,,director,policy architecture governance,"(data architecture, 83, great)",83.0,,,"(enterprise data governance, 61, common)",61.0,,,"(data governance, 86, great)",86.0,,
533,"director, it data services / integrations",1,director it data services integrations,data services,,,director,it data services integrations,"(data services, 100, great)",100.0,great,data services,"(data services, 62, great)",62.0,,,"(data services, 90, great)",90.0,great,data services
534,"director, investments it - strategic solutions",1,director investments it strategic solutions,,,,director,investments it strategic solutions,"(business solutions, 67, common)",67.0,,,"(business solutions, 58, common)",58.0,,,"(data services, 49, great)",49.0,,
535,"director, information governance",1,director information governance,,,,director,information governance,"(data governance, 80, great)",80.0,,,"(information architect, 70, great)",70.0,,,"(data governance, 76, great)",76.0,,
536,"director, information and integration architecture",1,director information and integration architecture,,,,director,information integration architecture,"(data architecture, 83, great)",83.0,,,"(information architect, 74, great)",74.0,,,"(information management, 86, great)",86.0,,
537,"director, informatics (soon to be cdo)",1,director informatics soon to be chief data officer,chief data officer,,,director,informatics soon to be chief data officer,"(chief data officer, 100, great)",100.0,great,chief data officer,"(chief information officer, 70, common)",70.0,,,"(chief data officer, 90, great)",90.0,great,chief data officer
538,"director, hr data governance & business intelligence",1,director hr data governance business intelligence,data governance,,,director,hr data governance business intelligence,"(data governance, 100, great)",100.0,great,data governance,"(business intelligence, 69, great)",69.0,,,"(data governance, 90, great)",90.0,great,data governance
539,"director, gds program",1,director gds program,ignore,,,director program,gds,"(master data, 29, great)",29.0,,,"(master data, 29, great)",29.0,,,"(data standards, 60, great)",60.0,,
540,"director, financial system solutions",1,director financial system solutions,,,,director,financial system solutions,"(financial systems, 74, common)",74.0,,,"(financial systems, 74, common)",74.0,,,"(analytics, 50, great)",50.0,,
541,"director, enterprise information management",1,director enterprise information management,enterprise information management,,,director,,,,,,,,,,,,,
542,"director, enterprise information governance",1,director enterprise information governance,,,,director,enterprise information governance,"(enterprise data governance, 89, common)",89.0,,,"(enterprise data governance, 71, common)",71.0,,,"(master data governance, 86, great)",86.0,,
543,"director, enterprise data stewardship",1,director enterprise data stewardship,data steward,,,director,enterprise data stewardship,"(enterprise data governance, 73, common)",73.0,,,"(enterprise data governance, 68, common)",68.0,,,"(data steward, 90, great)",90.0,great,data steward
544,"director, enterprise data management",1,director enterprise data management,data management,,,director,enterprise data management,"(data management, 100, great)",100.0,great,data management,"(data management, 73, great)",73.0,,,"(data management, 90, great)",90.0,great,data management
545,"director, electronic algorithms & kinetic modeling",1,director electronic algorithms kinetic modeling,,,,director,electronic algorithms kinetic modeling,"(information architect, 47, great)",47.0,,,"(information architect, 47, great)",47.0,,,"(chief operating officer, 43, great)",43.0,,
546,"director, data warehouse development",1,director data warehouse development,data warehouse,,,director,data warehouse development,"(data warehouse, 100, great)",100.0,great,data warehouse,"(data warehouse, 70, great)",70.0,,,"(data warehouse, 90, great)",90.0,great,data warehouse
547,"director, data scientist, r&d team",1,director data scientist team,,,,director,data scientist team,"(data steward, 58, great)",58.0,,,"(data steward, 58, great)",58.0,,,"(master data, 86, great)",86.0,,
548,"director, data management",1,director data management,data management,,,director,,,,,,,,,,,,,
549,"director, data governance",1,director data governance,data governance,,,director,,,,,,,,,,,,,
550,"director, data engineering",1,director data engineering,data engineering,,,director,,,,,,,,,,,,,
551,"director, customer data management",1,director customer data management,data management,,,director,customer data management,"(data management, 100, great)",100.0,great,data management,"(data management, 77, great)",77.0,,,"(data management, 90, great)",90.0,great,data management
552,"director, commercial contracts at inc research",1,director commercial contracts at inc research,,,,director,commercial contracts at inc research,"(master data governance, 48, great)",48.0,,,"(master data governance, 48, great)",48.0,,,"(data services, 49, great)",49.0,,
553,"director, clinical innovation - co-chair of dg cousel",1,director clinical innovation co chair of data governance cousel,data governance,,,director,clinical innovation co chair data governance cousel,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 49, great)",49.0,,,"(data governance, 90, great)",90.0,great,data governance
554,"director, business intelligence",1,director business intelligence,business intelligence,,,director,,,,,,,,,,,,,
