,title,title_count,title_split,levels,title_match,new_title,score
1066,it compliance analyst,2,compliance analyst,,"(data analyst, 86)",data analyst,86.0
1067,it compliance,2,compliance,,"(business intelligence competency center, 54)",business intelligence competency center,54.0
1068,it business analyst,2,business analyst,,"(business intelligence process, 86)",business intelligence process,86.0
1069,it audit/compliance liaison,2,audit compliance liaison,,"(data science, 52)",data science,52.0
1070,io,2,,,,,0.0
1071,invoices/admin/payment requests,2,invoices payment requests,administrative,"(identity & access management, 45)",identity & access management,45.0
1072,investment risk technology,2,investment risk technology,,"(data architect, 45)",data architect,45.0
1073,investment data and derivative manager,2,investment data derivative,manager,"(data, 90)",data,90.0
1074,investment bank cdo,2,investment bank chief data officer,,"(chief data officer, 90)",chief data officer,90.0
1075,information technology officer,2,information technology officer,,"(chief data officer, 86)",chief data officer,86.0
1076,"information technology | bcbs, kgro 2",2,information technology bcbs kgro,,"(information architect, 86)",information architect,86.0
1077,information systems specialist,2,information systems specialist,,"(information architect, 66)",information architect,66.0
1078,information security architect,2,information security architect,,"(information architect, 95)",information architect,95.0
1079,information management strategist,2,information management strategist,,"(information management, 90)",information management,90.0
1080,information architect officer,2,information architect officer,,"(information architect, 95)",information architect,95.0
1081,information architect (bi / wh / mdm),2,information architect business intelligence wh master data,manager,"(information architect, 90)",information architect,90.0
1082,info sys consultant,2,info sys consultant,,"(data, 45)",data,45.0
1083,inbox invoices,2,inbox invoices,,"(chief information officer, 46)",chief information officer,46.0
1084,ib head of data governance,2,ib data governance,head,"(data governance, 95)",data governance,95.0
1085,ib finance ref data governance,2,ib finance ref data governance,,"(data, 90)",data,90.0
1086,"ian data services design, network operations",2,ian data services design network operations,,"(data services, 90)",data services,90.0
1087,human resources,2,human resources,,"(data services, 50)",data services,50.0
1088,"hr insights and analytics partner,lead enterprise infrastructure engineer",2,hr insights analytics partner lead enterprise infrastructure engineer,,"(analytics, 90)",analytics,90.0
1089,head of stewardship,2,stewardship,head,"(data stewardship, 95)",data stewardship,95.0
1090,head of solution architecture mi-systems,2,solution architecture systems,head,"(architecture, 90)",architecture,90.0
1091,"head of product management, market data services, fund services",2,product management market data services fund services,head,"(chief data officer, 86)",chief data officer,86.0
1092,head of identity & access management,2,identity access management,head,"(identity & access management, 96)",identity & access management,96.0
1093,head of governance | data solutions,2,governance data solutions,head,"(data, 90)",data,90.0
1094,head of finance design,2,finance design,head,"(data governance, 46)",data governance,46.0
1095,head of data lifecycle management and specialty insurance data lead,2,data lifecycle management specialty insurance data lead,head,"(chief data officer, 86)",chief data officer,86.0
1096,head of data governance - operations,2,data governance operations,head,"(data, 90)",data,90.0
1097,"head of cobam account maintenance, london",2,cobam account maintenance london,head,"(data governance, 51)",data governance,51.0
1098,head of business intelligence and data governance,2,business intelligence data governance,head,"(data governance, 90)",data governance,90.0
1099,head of business data architect and definitions,2,business data architect definitions,head,"(data architect, 90)",data architect,90.0
1100,group customer data strategy,2,group customer data strategy,,"(data, 90)",data,90.0
1101,group chief data officer,2,group chief data officer,,"(chief data officer, 95)",chief data officer,95.0
1102,governance operationalization lead,2,governance operationalization lead,,"(data governance, 86)",data governance,86.0
1103,governance and compliance team lead,2,governance compliance team lead,,"(data governance, 86)",data governance,86.0
1104,global leader for global unity & acceptance,2,global leader global unity acceptance,,"(data quality, 45)",data quality,45.0
1105,global investment operations | corporate business it,2,global investment operations corporate business,,"(business intelligence, 86)",business intelligence,86.0
1106,global information architect,2,global information architect,,"(information architect, 95)",information architect,95.0
1107,global head of strategy & governance of reference data,2,global strategy governance reference data,head,"(chief data officer, 86)",chief data officer,86.0
1108,global head of reference data it,2,global reference data,head,"(data, 90)",data,90.0
1109,global head of data management,2,global data management,head,"(data management, 95)",data management,95.0
1110,global head of data governance,2,global data governance,head,"(data governance, 95)",data governance,95.0
1111,global finance information architect,2,global finance information architect,,"(information architect, 90)",information architect,90.0
1112,global data officer,2,global data officer,,"(data, 90)",data,90.0
1113,"financial, administrative, customer service (vice president, director, manager)",2,financial customer service,administrative vice president director manager,"(data services, 62)",data services,62.0
1114,executive vice president/co-cio,2,co chief investment officer,executive vice president,"(chief data officer, 86)",chief data officer,86.0
1115,executive consultant,2,consultant,executive,"(decision support, 46)",decision support,46.0
1116,executive assisant to peter johnson,2,assisant peter johnson,executive,"(data, 45)",data,45.0
1117,etl developer,2,etl developer,,"(master data governance, 41)",master data governance,41.0
1118,"enterprise systems, project manager",2,enterprise systems project,manager,"(enterprise architect, 65)",enterprise architect,65.0
1119,enterprise solution architect -global operations & infrastructure,2,enterprise solution architect global operations infrastructure,,"(information architect, 86)",information architect,86.0
1120,enterprise risk advisor,2,enterprise risk,advisor,"(enterprise architect, 76)",enterprise architect,76.0
1121,enterprise infrastructure engineering specialist,2,enterprise infrastructure engineering specialist,,"(enterprise architect, 86)",enterprise architect,86.0
1122,enterprise data governance program manager,2,enterprise data governance program,manager,"(data governance, 90)",data governance,90.0
1123,"enterprise architect advisor, is planning & architecture",2,enterprise architect planning architecture,advisor,"(architecture, 90)",architecture,90.0
1124,engineering manager,2,engineering,manager,"(customer intelligence, 50)",customer intelligence,50.0
1125,emea head of client data change,2,emea client data change,head,"(data, 90)",data,90.0
1126,ecm - it/comms & market data,2,ecm comms market data,,"(data, 90)",data,90.0
1127,"dw architect, manager, analyst, business analyst",2,data warehouse architect analyst business analyst,manager,"(data warehouse, 90)",data warehouse,90.0
1128,dmm and dg analyst,2,dmm data governance analyst,,"(data, 90)",data,90.0
1129,ditg / del / domaine acquisition et echanges de données,2,ditg domaine acquisition echanges donn,,"(big data, 57)",big data,57.0
1130,director-software development engineer,2,software development engineer,director,"(data manager, 45)",data manager,45.0
1131,director-software dev engineer,2,software dev engineer,director,"(master data governance, 47)",master data governance,47.0
1132,director-compliance department,2,compliance department,director,"(customer data management, 53)",customer data management,53.0
1133,director/vp -- investments technology global strategy & integration,2,investments technology global strategy integration,director vice president,"(information management, 58)",information management,58.0
1134,"director, reference data service",2,reference data service,director,"(data, 90)",data,90.0
1135,"director, market data sourcing",2,market data sourcing,director,"(data, 90)",data,90.0
1136,"director, it risk and compliance",2,risk compliance,director,"(business intelligence competency center, 48)",business intelligence competency center,48.0
1137,"director, it risk & compliance",2,risk compliance,director,"(business intelligence competency center, 48)",business intelligence competency center,48.0
1138,"director, investments it - strategic solutions",2,investments strategic solutions,director,"(data, 45)",data,45.0
1139,"director, head of transformation management office",2,transformation management office,director head,"(data management, 86)",data management,86.0
1140,"director, finance it",2,finance,director,"(data governance, 64)",data governance,64.0
1141,"director, finance data governance",2,finance data governance,director,"(data, 90)",data,90.0
1142,"director, enterprise financial systems",2,enterprise financial systems,director,"(enterprise architect, 67)",enterprise architect,67.0
1143,"director, data governance",2,data governance,director,"(data governance, 100)",data governance,100.0
1144,"director, construction analytics it",2,construction analytics,director,"(analytics, 90)",analytics,90.0
1145,"director, consolidation & analysis",2,consolidation analysis,director,"(analytics, 74)",analytics,74.0
1146,"director, client data",2,client data,director,"(data, 90)",data,90.0
1147,"director, application development, business intelligence & analytics",2,application development business intelligence analytics,director,"(business intelligence, 90)",business intelligence,90.0
1148,"director, analytics",2,analytics,director,"(analytics, 100)",analytics,100.0
1149,director	 ib finance,2,ib finance,director,"(information governance, 60)",information governance,60.0
1150,director	 financial systems,2,financial systems,director,"(analytics, 54)",analytics,54.0
1151,director of strategy & governance - us direct,2,strategy governance us direct,director,"(data governance, 86)",data governance,86.0
1152,director of global compliance,2,global compliance,director,"(data science, 48)",data science,48.0
1153,director of financial reporting systems,2,financial reporting systems,director,"(big data, 45)",big data,45.0
1154,director network engineering & compliance,2,network engineering compliance,director,"(customer intelligence, 47)",customer intelligence,47.0
1155,"director investments, pmg global applications |",2,investments pmg global applications,director,"(data management, 45)",data management,45.0
1156,director insights and analytics,2,insights analytics,director,"(analytics, 90)",analytics,90.0
1157,director financial planning and analysis,2,financial planning analysis,director,"(analytics, 70)",analytics,70.0
1158,director _ itg ei data services,2,itg data services,director,"(data services, 95)",data services,95.0
1159,director & india lead -data governance,2,india lead data governance,director,"(data, 90)",data,90.0
1160,director - project management & business integration,2,project management business integration,director,"(data management, 86)",data management,86.0
1161,director - investments it data architecture,2,investments data architecture,director,"(data, 90)",data,90.0
1162,director - enterprise data architecture,2,enterprise data architecture,director,"(data, 90)",data,90.0
1163,director - data stewardship,2,data stewardship,director,"(data stewardship, 100)",data stewardship,100.0
1164,director - business systems,2,business systems,director,"(business intelligence process, 86)",business intelligence process,86.0
1165,director - architecture,2,architecture,director,"(architecture, 100)",architecture,100.0
1166,dirctor - ccar data head,2,dirctor ccar data,head,"(data, 90)",data,90.0
1167,dg,2,data governance,,"(data governance, 100)",data governance,100.0
1168,deputy cdo for global finance,2,deputy chief data officer global finance,,"(chief data officer, 90)",chief data officer,90.0
1169,"delivery manager, bi&a",2,delivery business intelligence,manager,"(business intelligence, 95)",business intelligence,95.0
1170,"data steward, chief data organization",2,data steward chief data organization,,"(data steward, 90)",data steward,90.0
1171,data scientist ii,2,data scientist ii,,"(data scientist, 95)",data scientist,95.0
1172,data management consultant,2,data management consultant,,"(data management, 90)",data management,90.0
1173,data management advisor,2,data management,advisor,"(data management, 100)",data management,100.0
1174,data loss prevention analyst,2,data loss prevention analyst,,"(data, 90)",data,90.0
1175,data governance professional,2,data governance professional,,"(data, 90)",data,90.0
1176,data governance officer,2,data governance officer,,"(data, 90)",data,90.0
1177,data governance metlife investments,2,data governance metlife investments,,"(data governance, 90)",data governance,90.0
1178,data governance lead edm,2,data governance lead edm,,"(data, 90)",data,90.0
1179,"data domain, group it architecture",2,data domain group architecture,,"(data, 90)",data,90.0
1180,data associate,2,data,associate,"(data, 100)",data,100.0
1181,data architect/modeler,2,data architect modeler,,"(data, 90)",data,90.0
1182,cosultant,2,cosultant,,"(data, 45)",data,45.0
1183,corporate data officer,2,corporate data officer,,"(data, 90)",data,90.0
1184,"corporate data advocate - information quality group, finance & accounting",2,corporate data advocate information quality group finance accounting,,"(chief data officer, 86)",chief data officer,86.0
1185,"corporate / investments, manager, dg team",2,corporate investments data governance team,manager,"(data governance, 90)",data governance,90.0
1186,coo pb,2,chief operating officer pb,,"(chief data officer, 80)",chief data officer,80.0
1187,contract manager - sourcing  | verizon services ireland ltd,2,contract sourcing verizon services ireland ltd,manager,"(data services, 86)",data services,86.0
1188,contract data utility (cdu) business analyst,2,contract data utility cdu business analyst,,"(chief data officer, 86)",chief data officer,86.0
1189,content manager,2,content,manager,"(enterprise architect, 61)",enterprise architect,61.0
1190,consultant - data architecture,2,consultant data architecture,,"(data, 90)",data,90.0
1191,compliance control specialist - corporate risk control,2,compliance control specialist corporate risk control,,"(architecture, 45)",architecture,45.0
1192,collibra platform owner,2,collibra platform owner,,"(chief information officer, 46)",chief information officer,46.0
1193,collibra & data governance adminstrator,2,collibra data governance adminstrator,,"(data governance, 90)",data governance,90.0
1194,client reference data project manager,2,client reference data project,manager,"(data, 90)",data,90.0
1195,client reference data business analyst,2,client reference data business analyst,,"(chief data officer, 86)",chief data officer,86.0
1196,client reference data,2,client reference data,,"(data, 90)",data,90.0
1197,cio business information group,2,chief investment officer business information group,,"(chief data officer, 86)",chief data officer,86.0
1198,chief technology officer-compliance information technology,2,chief technology officer compliance information technology,,"(chief data officer, 86)",chief data officer,86.0
1199,chief of staff to svp chief architect & dir.- global enterprise architecture - strategy & governance,2,chief staff chief architect global enterprise architecture strategy governance,senior vice president director,"(architecture, 90)",architecture,90.0
1200,chief information security officer (ciso),2,chief information security officer ciso,,"(chief data officer, 86)",chief data officer,86.0
1201,"chief information officer, ifc",2,chief information officer ifc,,"(chief information officer, 95)",chief information officer,95.0
1202,"chief data officer, gbm americas",2,chief data officer gbm americas,,"(chief data officer, 90)",chief data officer,90.0
1203,chief data officer - investments,2,chief data officer investments,,"(chief data officer, 90)",chief data officer,90.0
1204,chief architect back office,2,chief architect back office,,"(chief data officer, 86)",chief data officer,86.0
1205,cdu business readiness,2,cdu business readiness,,"(business intelligence competency center, 86)",business intelligence competency center,86.0
1206,"cdo, corporate business it",2,chief data officer corporate business,,"(chief data officer, 90)",chief data officer,90.0
1207,cdo canada,2,chief data officer canada,,"(chief data officer, 95)",chief data officer,95.0
1208,business/data analyst,2,business data analyst,,"(data, 90)",data,90.0
1209,business systems officer,2,business systems officer,,"(business intelligence competency center, 86)",business intelligence competency center,86.0
1210,business systems advisor,2,business systems,advisor,"(business intelligence process, 86)",business intelligence process,86.0
1211,business process specialist,2,business process specialist,,"(business intelligence process, 70)",business intelligence process,70.0
1212,business process analyst,2,business process analyst,,"(data analyst, 86)",data analyst,86.0
1213,bi lead,2,business intelligence lead,,"(business intelligence, 95)",business intelligence,95.0
1214,"avp, global it procurement",2,global procurement,assistant vice president,"(architecture, 45)",architecture,45.0
1215,"avp, enterprise data governance",2,enterprise data governance,assistant vice president,"(data, 90)",data,90.0
1216,"avp, data operations analyst",2,data operations analyst,assistant vice president,"(data, 90)",data,90.0
1217,avp investments it,2,investments,assistant vice president,"(business intelligence competency center, 55)",business intelligence competency center,55.0
1218,avp applications development,2,applications development,assistant vice president,"(information management, 52)",information management,52.0
1219,associate general counsel,2,general counsel,associate,"(customer intelligence, 48)",customer intelligence,48.0
1220,assistant vice president-head of global audit analytic and data governance,2,global audit analytic data governance,assistant vice president head,"(data governance, 90)",data governance,90.0
1221,"assistant vice president, key programs - metlife i",2,key programs metlife,assistant vice president,"(business intelligence process, 43)",business intelligence process,43.0
1222,"assistant vice president, enterprise technology",2,enterprise technology,assistant vice president,"(enterprise architect, 68)",enterprise architect,68.0
1223,assistant vice president - global reporting and development,2,global reporting development,assistant vice president,"(big data, 45)",big data,45.0
1224,assistant vice president - finance,2,finance,assistant vice president,"(data governance, 64)",data governance,64.0
1225,assistant to collin hall,2,collin hall,assistant,"(information architect, 41)",information architect,41.0
1226,architect counterparty risk it,2,architect counterparty risk,,"(data architect, 86)",data architect,86.0
1227,aio,2,aio,,"(information management, 60)",information management,60.0
1228,works for suvrat in am,1,works suvrat,,"(data, 45)",data,45.0
1229,vp/cmio,1,cmio,vice president,"(data protection officer, 68)",data protection officer,68.0
1230,"vp, shared services it",1,shared services,vice president,"(data services, 72)",data services,72.0
1231,"vp, sales & marketing it",1,sales marketing,vice president,"(identity & access management, 48)",identity & access management,48.0
1232,"vp, information technology",1,information technology,vice president,"(information architect, 70)",information architect,70.0
1233,"vp, enterprise information managemnet",1,enterprise information managemnet,vice president,"(information management, 86)",information management,86.0
1234,"vp, enterprise data office",1,enterprise data office,vice president,"(data, 90)",data,90.0
1235,"vp, dg manager",1,data governance,vice president manager,"(data governance, 100)",data governance,100.0
1236,"vp, data governance strategy",1,data governance strategy,vice president,"(data, 90)",data,90.0
1237,"vp, corporate compliance (cco)",1,corporate compliance cco,vice president,"(data governance, 48)",data governance,48.0
1238,"vp, cio",1,chief investment officer,vice president,"(chief data officer, 80)",chief data officer,80.0
1239,"vp, cfo",1,chief financial officer,vice president,"(chief data officer, 80)",chief data officer,80.0
1240,vp	 digital platforms,1,digital platforms,vice president,"(data, 45)",data,45.0
1241,vp strategy and change mgmt,1,strategy change mgmt,vice president,"(customer data management, 55)",customer data management,55.0
1242,"vp sourcing, it services & software",1,sourcing services software,vice president,"(data services, 86)",data services,86.0
1243,vp predictive analytics,1,predictive analytics,vice president,"(analytics, 90)",analytics,90.0
1244,vp of shared services accountin,1,shared services accountin,vice president,"(data services, 86)",data services,86.0
1245,vp of it sourcing / procurement,1,sourcing procurement,vice president,"(information management, 48)",information management,48.0
1246,vp of brokerage,1,brokerage,vice president,"(data governance, 50)",data governance,50.0
1247,vp of applications @ amerihealth caritas,1,applications amerihealth caritas,vice president,"(information architect, 51)",information architect,51.0
1248,"vp major programs, coo",1,major programs chief operating officer,vice president,"(chief data officer, 86)",chief data officer,86.0
1249,vp life and annuity finance,1,life annuity finance,vice president,"(chief data officer, 53)",chief data officer,53.0
1250,vp holland professional services,1,holland professional services,vice president,"(data services, 86)",data services,86.0
1251,vp enterprise services strategy,1,enterprise services strategy,vice president,"(data services, 86)",data services,86.0
1252,vp enterprise data governance,1,enterprise data governance,vice president,"(data, 90)",data,90.0
1253,vp- data quality,1,data quality,vice president,"(data quality, 100)",data quality,100.0
1254,"vp data governance data architect,us fbo regulation project team",1,data governance data architect us fbo regulation project team,vice president,"(data governance, 90)",data governance,90.0
1255,vp data delivery & architecture,1,data delivery architecture,vice president,"(data, 90)",data,90.0
1256,vp data analytics,1,data analytics,vice president,"(data, 90)",data,90.0
1257,vp corporate medical informatics,1,corporate medical informatics,vice president,"(chief information officer, 53)",chief information officer,53.0
1258,vp consumer technologoy,1,consumer technologoy,vice president,"(customer intelligence, 49)",customer intelligence,49.0
1259,vp / cio,1,chief investment officer,vice president,"(chief data officer, 80)",chief data officer,80.0
1260,vp - principal technology architect,1,principal technology architect,vice president,"(data architect, 86)",data architect,86.0
1261,vp - fp&a,1,fp,vice president,"(data stewardship, 45)",data stewardship,45.0
1262,vp - enterprise data quality,1,enterprise data quality,vice president,"(data, 90)",data,90.0
1263,vp - data and architecture services,1,data architecture services,vice president,"(data, 90)",data,90.0
1264,vp - basel and regulatory reporting,1,basel regulatory reporting,vice president,"(data, 45)",data,45.0
1265,"vice president, information technology",1,information technology,vice president,"(information architect, 70)",information architect,70.0
1266,"vice president, global head of regulated content",1,global regulated content,vice president head,"(data, 45)",data,45.0
1267,"vice president, etl architect",1,etl architect,vice president,"(information architect, 86)",information architect,86.0
1268,"vice president, enterprise risk services",1,enterprise risk services,vice president,"(data services, 86)",data services,86.0
1269,"vice president, enterprise data governance",1,enterprise data governance,vice president,"(data, 90)",data,90.0
1270,"vice president, data strategy & governance, commercial bank technology",1,data strategy governance commercial bank technology,vice president,"(chief data officer, 86)",chief data officer,86.0
1271,"vice president, compliance risk management",1,compliance risk management,vice president,"(data management, 86)",data management,86.0
1272,"vice president, compliance and ethics",1,compliance ethics,vice president,"(business intelligence competency center, 48)",business intelligence competency center,48.0
1273,vice president of enterprise compliance risk management,1,enterprise compliance risk management,vice president,"(data management, 86)",data management,86.0
1274,vice president of data center operations operations,1,data center operations operations,vice president,"(chief data officer, 86)",chief data officer,86.0
1275,vice president compliance and control,1,compliance control,vice president,"(business intelligence competency center, 55)",business intelligence competency center,55.0
1276,"vice president and regional head, financial services, americas",1,regional financial services americas,vice president head,"(data services, 86)",data services,86.0
1277,vice president / reference data management,1,reference data management,vice president,"(data management, 90)",data management,90.0
1278,vice president - enterprise data architecture,1,enterprise data architecture,vice president,"(data, 90)",data,90.0
1279,vice president - data network engineering,1,data network engineering,vice president,"(data, 90)",data,90.0
1280,vice president - cusip global services,1,cusip global services,vice president,"(data services, 86)",data services,86.0
1282,unified data governance officer (not sure),1,unified data governance officer sure,,"(data governance, 90)",data governance,90.0
1283,u.s.federal marshals,1,federal marshals,,"(data analyst, 50)",data analyst,50.0
1284,temporary lead data steward,1,temporary lead data steward,,"(data, 90)",data,90.0
1285,"technology, informatica integration",1,technology informatica integration,,"(information architect, 60)",information architect,60.0
1286,technology project manager,1,technology project,manager,"(business intelligence process, 45)",business intelligence process,45.0
1287,technology associate director,1,technology,associate director,"(data protection officer, 45)",data protection officer,45.0
1288,technology analyst,1,technology analyst,,"(data analyst, 86)",data analyst,86.0
1289,technical manager,1,technical,manager,"(data architect, 43)",data architect,43.0
1290,technical lead,1,technical lead,,"(data steward, 46)",data steward,46.0
1291,"technical analyst, enterprise information architecture",1,technical analyst enterprise information architecture,,"(information architect, 90)",information architect,90.0
1292,tech specialist datacom,1,tech specialist datacom,,"(data, 90)",data,90.0
1293,"team lead, metadata & mdm",1,team lead metadata master data,manager,"(data, 90)",data,90.0
1294,"team lead, data strategy & alignment",1,team lead data strategy alignment,,"(chief data officer, 86)",chief data officer,86.0
1295,team lead- data governance,1,team lead data governance,,"(data, 90)",data,90.0
1296,systems engineering life cycle / agile development manager,1,systems engineering life cycle agile development,manager,"(identity & access management, 45)",identity & access management,45.0
1297,"svp, data monitoring",1,data monitoring,senior vice president,"(data, 90)",data,90.0
1298,"svp, cio & enterprise transformation leader",1,chief investment officer enterprise transformation leader,senior vice president,"(chief data officer, 86)",chief data officer,86.0
1299,"svp, chief data officer",1,chief data officer,senior vice president,"(chief data officer, 100)",chief data officer,100.0
1300,"svp, cea, director of security & risk services",1,cea security risk services,senior vice president director,"(data services, 86)",data services,86.0
1301,svp chief op rick officer,1,chief rick officer,senior vice president,"(chief data officer, 80)",chief data officer,80.0
1302,svp chief consumer credit risk officer,1,chief consumer credit risk officer,senior vice president,"(chief data officer, 86)",chief data officer,86.0
1303,svp analytics,1,analytics,senior vice president,"(analytics, 100)",analytics,100.0
1304,svp / cio at princess cruises / holland america group,1,chief investment officer princess cruises holland america group,senior vice president,"(chief data officer, 86)",chief data officer,86.0
1305,supplier oversight analyst - vendor management,1,supplier oversight analyst vendor management,,"(data management, 86)",data management,86.0
1306,strategist,1,strategist,,"(data scientist, 50)",data scientist,50.0
1307,strategic communications specialist,1,strategic communications specialist,,"(data analyst, 50)",data analyst,50.0
1308,strategic communications lead,1,strategic communications lead,,"(analytics, 50)",analytics,50.0
1309,staff director,1,staff,director,"(chief data officer, 54)",chief data officer,54.0
1310,sr. strategic it sourcing manager,1,strategic sourcing,senior manager,"(big data, 54)",big data,54.0
1311,sr. portfolio manager - eim - it - business planning & management,1,portfolio enterprise information management business planning management,senior manager,"(information management, 90)",information management,90.0
1312,"sr. manager, oprisk mgmt capabilities",1,oprisk mgmt capabilities,senior manager,"(analytics, 50)",analytics,50.0
1313,sr. manager it data strategy,1,data strategy,senior manager,"(data, 90)",data,90.0
1314,sr. manager - data qualtiy,1,data qualtiy,senior manager,"(data quality, 92)",data quality,92.0
1315,sr. it compliance analyst,1,compliance analyst,senior,"(data analyst, 86)",data analyst,86.0
1316,sr. enterprise information architect,1,enterprise information architect,senior,"(information architect, 90)",information architect,90.0
1317,"sr. engineering manager, product owner",1,engineering product owner,senior manager,"(business intelligence process, 46)",business intelligence process,46.0
1318,sr. director-software engineering,1,software engineering,senior director,"(data management, 46)",data management,46.0
1319,"sr. director, global data insight & analytics",1,global data insight analytics,senior director,"(data, 90)",data,90.0
1320,sr. director,1,,senior director,,,0.0
1321,sr. direcror - application development,1,direcror application development,senior,"(information management, 52)",information management,52.0
1322,sr. dir of  customer service and business process optimization,1,customer service business process optimization,senior director,"(customer intelligence, 86)",customer intelligence,86.0
1323,sr. data analyst and architect,1,data analyst architect,senior,"(data, 90)",data,90.0
1324,sr. category manager,1,category,senior manager,"(customer intelligence, 45)",customer intelligence,45.0
1325,sr. business & data analyst - dg lead,1,business data analyst data governance lead,senior,"(data governance, 90)",data governance,90.0
1326,sr. applications manager,1,applications,senior manager,"(analytics, 48)",analytics,48.0
1327,sr vice president information technology governanc,1,information technology governanc,senior vice president,"(information architect, 86)",information architect,86.0
1328,sr technical procurement,1,technical procurement,senior,"(architecture, 45)",architecture,45.0
1329,sr solutions architect,1,solutions architect,senior,"(architecture, 77)",architecture,77.0
1330,sr principal architect,1,principal architect,senior,"(architecture, 77)",architecture,77.0
1331,"sr mgr, business intelligence",1,business intelligence,senior manager,"(business intelligence, 100)",business intelligence,100.0
1332,sr mgr of data management,1,data management,senior manager,"(data management, 100)",data management,100.0
1333,"sr manager, tech integrations it",1,tech integrations,senior manager,"(chief information officer, 52)",chief information officer,52.0
1334,"sr manager, data governance",1,data governance,senior manager,"(data governance, 100)",data governance,100.0
1335,"sr manager, bi it",1,business intelligence,senior manager,"(business intelligence, 100)",business intelligence,100.0
1336,sr manager - bi / enterprise reporting & analytics,1,business intelligence enterprise reporting analytics,senior manager,"(business intelligence, 90)",business intelligence,90.0
1337,sr director of infrastructure & operations,1,infrastructure operations,senior director,"(information architect, 54)",information architect,54.0
1338,"sr business analyst, data governance",1,business analyst data governance,senior,"(data, 90)",data,90.0
1339,"sr associate,  lead of era",1,lead,senior associate,"(data stewardship, 45)",data stewardship,45.0
1340,specialist,1,specialist,,"(data scientist, 50)",data scientist,50.0
1341,sourcing product mgr,1,sourcing product,manager,"(data science, 48)",data science,48.0
1342,"sourcing manager, market data",1,sourcing market data,manager,"(data, 90)",data,90.0
1343,sourcing manager,1,sourcing,manager,"(customer intelligence, 45)",customer intelligence,45.0
1344,sourcing and contract specialist,1,sourcing contract specialist,,"(data scientist, 58)",data scientist,58.0
1345,solvency ii asset data sme,1,solvency ii asset data sme,,"(data, 90)",data,90.0
1346,solutions consultant,1,solutions consultant,,"(information management, 48)",information management,48.0
1347,software research engr,1,software research engr,,"(data steward, 50)",data steward,50.0
1348,software engineer principal,1,software engineer principal,,"(data steward, 50)",data steward,50.0
1349,software architect,1,software architect,,"(architecture, 77)",architecture,77.0
1350,soa architect,1,soa architect,,"(information architect, 86)",information architect,86.0
1351,sn associate,1,sn,associate,"(data management, 45)",data management,45.0
1352,"senior vice president, head of compliance for moody's global commercial group",1,compliance moody global commercial group,senior vice president head,"(customer intelligence, 49)",customer intelligence,49.0
1353,senior vice president data governance,1,data governance,senior vice president,"(data governance, 100)",data governance,100.0
1354,senior vice president chief information officer,1,chief information officer,senior vice president,"(chief information officer, 100)",chief information officer,100.0
1355,senior vice president chief ethics and compliance officer,1,chief ethics compliance officer,senior vice president,"(chief data officer, 86)",chief data officer,86.0
1356,senior systems analyst (sponsored data expert),1,systems analyst sponsored data expert,senior,"(chief data officer, 86)",chief data officer,86.0
1357,senior solutions architect,1,solutions architect,senior,"(architecture, 77)",architecture,77.0
1358,senior sales manager,1,sales,senior manager,"(data analyst, 54)",data analyst,54.0
1359,senior sales leader,1,sales leader,senior,"(data manager, 42)",data manager,42.0
1360,senior researcher,1,researcher,senior,"(enterprise architect, 63)",enterprise architect,63.0
1361,senior purchasing manager,1,purchasing,senior manager,"(information governance, 45)",information governance,45.0
1362,"senior project manager, project management office",1,project project management office,senior manager,"(data management, 86)",data management,86.0
1363,senior product director,1,product,senior director,"(data protection officer, 64)",data protection officer,64.0
1364,senior procurement analyst global sourcing strategies,1,procurement analyst global sourcing strategies,senior,"(data analyst, 86)",data analyst,86.0
1365,"senior mgr, it strategy",1,strategy,senior manager,"(master data governance, 57)",master data governance,57.0
1366,senior manger	 data governance,1,data governance,senior manager,"(data governance, 100)",data governance,100.0
1367,"senior manager, risk data management, risk coo",1,risk data management risk chief operating officer,senior manager,"(data management, 90)",data management,90.0
1368,"senior manager, prospect marketing capabilities",1,prospect marketing capabilities,senior manager,"(big data, 57)",big data,57.0
1369,"senior manager, it governance, risk and compliance",1,governance risk compliance,senior manager,"(data governance, 86)",data governance,86.0
1370,"senior manager, global supplier management",1,global supplier management,senior manager,"(data management, 86)",data management,86.0
1371,"senior manager, crm",1,crm,senior manager,"(chief data officer, 60)",chief data officer,60.0
1372,senior manager market data compliance,1,market data compliance,senior manager,"(data, 90)",data,90.0
1373,senior manager data managemen,1,data managemen,senior manager,"(data management, 97)",data management,97.0
1374,senior manager data governance,1,data governance,senior manager,"(data governance, 100)",data governance,100.0
1375,senior manager -  data insight services,1,data insight services,senior manager,"(data, 90)",data,90.0
1376,senior legal counsel,1,legal counsel,senior,"(data warehouse, 44)",data warehouse,44.0
1377,senior information technology auditor-data privacy,1,information technology auditor data privacy,senior,"(chief data officer, 86)",chief data officer,86.0
1378,"senior director, search & data management strategy",1,search data management strategy,senior director,"(data management, 90)",data management,90.0
1379,"senior director, product management",1,product management,senior director,"(identity & access management, 86)",identity & access management,86.0
1380,"senior director, enterprise architecture & innovation",1,enterprise architecture innovation,senior director,"(architecture, 90)",architecture,90.0
1381,"senior director, data stewardship",1,data stewardship,senior director,"(data stewardship, 100)",data stewardship,100.0
1382,"senior director, data services",1,data services,senior director,"(data services, 100)",data services,100.0
