,title,title_count,title_split,temp,type,title_level,new_title,leftover,fuzz_results,fuzz_score,fuzz_title,fuzz_type
379,manager it architecture,1,manager it architecture,"(it architecture, [level], [it architecture])",level,manager,,it architecture,"(architecture, 89, great)",89.0,architecture,great
380,manager is data governance process,1,manager is data governance process,"(is data governance process, [level], [is data governance process])",level,manager,,is data governance process,"(master data governance, 75, great)",75.0,master data governance,great
381,manager enterprise data governance program,1,manager enterprise data governance program,"(enterprise data governance program, [level], [enterprise data governance program])",level,manager,,enterprise data governance program,"(master data governance, 61, great)",61.0,master data governance,great
382,manager e&p data and solutions,1,manager data and solutions,"(data solutions, [level], [data solutions])",level,manager,,data solutions,"(solutions architect, 73, common)",73.0,solutions architect,common
383,manager cris support,1,manager cris support,"(cris support, [level], [cris support])",level,manager,,cris support,"(descision support, 76, great)",76.0,descision support,great
384,manager corporate solutions data governance americas region,1,manager corporate solutions data governance americas region,"(corporate solutions data governance americas region, [level], [corporate solutions data governance americas region])",level,manager,,corporate solutions data governance americas region,"(master data governance, 49, great)",49.0,master data governance,great
385,manager business operations - no longer there,1,manager business operations no longer there,"(business operations no longer there, [level], [business operations no longer there])",level,manager,,business operations no longer there,"(business intelligence competency center, 59, great)",59.0,business intelligence competency center,great
386,"manager - vsource, vzw ps & corporate & scv",1,manager vsource vzw ps corporate scv,"(vsource vzw ps corporate scv, [level], [vsource vzw ps corporate scv])",level,manager,,vsource vzw ps corporate scv,"(chief medical informatics officer, 39, great)",39.0,chief medical informatics officer,great
387,manager - tech,1,manager tech,"(tech, [level], [tech])",level,manager,,tech,"(architect, 46, great)",46.0,architect,great
388,manager - global customer data,1,manager global customer data,"(customer data, [level], [customer data])",level,manager global,,customer data,"(customer data management, 70, great)",70.0,customer data management,great
389,manager - change management,1,manager change management,"(change management, [level], [change management])",level,manager,,change management,"(risk change management, 87, great)",87.0,risk change management,great
390,management consultant,1,management consultant,"(management, [level], [management])",level,consultant,,management,"(data management, 80, great)",80.0,data management,great
391,machine learning engineer,1,machine learning engineer,"(machine learning engineer, [to_fix], [machine learning engineer])",to_fix,,,machine learning engineer,"(software engineer, 57, common)",57.0,software engineer,common
392,log,1,log,"(log, [to_fix], [log])",to_fix,,,log,"(developer, 33, common)",33.0,developer,common
393,lead solutions architect quantitative sciences it,1,lead solutions architect quantitative sciences it,"(solutions architect quantitative sciences it, [level], [solutions architect quantitative sciences it])",level,lead,,solutions architect quantitative sciences it,"(solutions architect, 60, common)",60.0,solutions architect,common
394,lead engineer,1,lead engineer,"(engineer, [level], [engineer])",level,lead,,engineer,"(systems engineer, 67, common)",67.0,systems engineer,common
395,lead data analyst,1,lead data analyst,"(data analyst, [great], [None])",great,lead,data analyst,,,,,
396,lead contracts manager,1,lead contracts manager,"(contracts, [level], [contracts])",level,lead manager,,contracts,"(controller, 53, great)",53.0,controller,great
397,lead associate - financial systems manager,1,lead associate financial systems manager,"(financial systems, [level], [financial systems])",level,lead associate manager,financial systems,,,,,
398,itm,1,itm,"(itm, [to_fix], [itm])",to_fix,,,itm,"(big data, 36, great)",36.0,big data,great
399,it supervisory specialist,1,it supervisory specialist,"(it supervisory, [level], [it supervisory])",level,specialist,,it supervisory,"(data services, 59, great)",59.0,data services,great
400,it sr mngr,1,it senior mngr,"(it mngr, [level], [it mngr])",level,senior,,it mngr,"(data manager, 63, great)",63.0,data manager,great
401,it specialist / program analyst,1,it specialist program analyst,"(it program analyst, [level], [it program analyst])",level,specialist,,it program analyst,"(data analyst, 67, great)",67.0,data analyst,great
402,it sourcing / procurement,1,it sourcing procurement,"(it sourcing procurement, [to_fix], [it sourcing procurement])",to_fix,,,it sourcing procurement,"(quality improvement, 57, great)",57.0,quality improvement,great
403,it purchasing - procurement and supply,1,it purchasing procurement and supply,"(it purchasing procurement and supply, [to_fix], [it purchasing procurement and supply])",to_fix,,,it purchasing procurement and supply,"(quality improvement, 51, great)",51.0,quality improvement,great
404,it project manager analytics,1,it project manager analytics,"(it analytics, [level], [it analytics])",level,project manager,,it analytics,"(analytics, 86, great)",86.0,analytics,great
405,it process consultant,1,it process consultant,"(it process, [level], [it process])",level,consultant,,it process,"(data services, 52, great)",52.0,data services,great
406,it officer,1,it officer,"(it officer, [to_fix], [it officer])",to_fix,,,it officer,"(chief data officer, 71, great)",71.0,chief data officer,great
407,it mgr,1,it manager,"(it, [level], [it])",level,manager,,it,"(big data, 40, great)",40.0,big data,great
408,it manager - enterprise data architecture and data quality,1,it manager enterprise data architecture and data quality,"(it enterprise data architecture data quality, [level], [it enterprise data architecture data quality])",level,manager,,it enterprise data architecture data quality,"(enterprise architect, 63, great)",63.0,enterprise architect,great
409,it finance,1,it finance,"(it finance, [to_fix], [it finance])",to_fix,,,it finance,"(financial systems, 59, common)",59.0,financial systems,common
410,"it director, mdm",1,it director master data manager,"(it master data, [level], [it master data])",level,director manager,,it master data,"(master data manager, 73, common)",73.0,master data manager,common
411,it director and business partner - gsp americas,1,it director and business partner gsp americas,"(it business partner gsp americas, [level], [it business partner gsp americas])",level,director,,it business partner gsp americas,"(business analyst, 50, common)",50.0,business analyst,common
412,it business partner / transformative technology leader,1,it business partner transformative technology leader,"(it business partner transformative technology, [level], [it business partner transformative technology])",level,leader,,it business partner transformative technology,"(business intelligence competency center, 52, great)",52.0,business intelligence competency center,great
413,it asset manager,1,it asset manager,"(it asset, [level], [it asset])",level,manager,,it asset,"(data scientist, 55, great)",55.0,data scientist,great
414,it & portfolio manager,1,it portfolio manager,"(it portfolio, [level], [it portfolio])",level,manager,,it portfolio,"(information architect, 48, great)",48.0,information architect,great
415,it - lead data architect for harvard data warehouse,1,it lead data architect for harvard data warehouse,"(it data architect harvard data warehouse, [level], [it data architect harvard data warehouse])",level,lead,,it data architect harvard data warehouse,"(enterprise architect, 53, great)",53.0,enterprise architect,great
416,is procurement,1,is procurement,"(is procurement, [to_fix], [is procurement])",to_fix,,,is procurement,"(quality improvement, 55, great)",55.0,quality improvement,great
417,is manager data governance,1,is manager data governance,"(is data governance, [level], [is data governance])",great,manager,data governance,,,91.0,data governance,great
418,is governance contact - data steward lead,1,is governance contact data steward lead,"(is governance contact data steward, [level], [is governance contact data steward])",level,lead,,is governance contact data steward,"(master data governance, 71, great)",71.0,master data governance,great
419,investment bank cdo,1,investment bank chief data officer,"(investment bank chief data officer, [to_fix], [investment bank chief data officer])",to_fix,,,investment bank chief data officer,"(chief investment officer, 83, common)",83.0,chief investment officer,common
420,ing investment management,1,ing investment management,"(ing investment management, [to_fix], [ing investment management])",to_fix,,,ing investment management,"(finance change management, 68, great)",68.0,finance change management,great
421,information technology specialist,1,information technology specialist,"(information technology, [level], [information technology])",level,specialist,information technology,,,,,
422,"information technology | bcbs, kgro 2",1,information technology bcbs kgro,"(information technology bcbs kgro, [to_fix], [information technology bcbs kgro])",to_fix,,,information technology bcbs kgro,"(information technology, 81, common)",81.0,information technology,common
423,information technology,1,information technology,"(information technology, [common], [None])",common,,information technology,,,,,
424,information management strategist,1,information management strategist,"(information management strategist, [to_fix], [information management strategist])",to_fix,,,information management strategist,"(information management, 80, great)",80.0,information management,great
425,information management manager,1,information management manager,"(information management, [great], [None])",great,manager,information management,,,,,
426,information management associate,1,information management associate,"(information management, [great], [None])",great,associate,information management,,,,,
427,information lifecycle management lead,1,information lifecycle management lead,"(information lifecycle management, [level], [information lifecycle management])",level,lead,,information lifecycle management,"(information management, 81, great)",81.0,information management,great
428,information architect officer,1,information architect officer,"(information architect officer, [to_fix], [information architect officer])",to_fix,,,information architect officer,"(chief information officer, 89, great)",89.0,chief information officer,great
429,indirect purchasing,1,indirect purchasing,"(indirect purchasing, [to_fix], [indirect purchasing])",to_fix,,,indirect purchasing,"(chief operating officer, 48, common)",48.0,chief operating officer,common
430,immigration law analyst,1,immigration law analyst,"(immigration law analyst, [to_fix], [immigration law analyst])",to_fix,,,immigration law analyst,"(operations analyst, 68, common)",68.0,operations analyst,common
431,ics solution architect,1,ics solution architect,"(ics solution architect, [to_fix], [ics solution architect])",to_fix,,,ics solution architect,"(solutions architect, 88, common)",88.0,solutions architect,common
432,ib head of data governance,1,investment banking head of data governance,"(investment banking data governance, [level], [investment banking data governance])",level,head of,,investment banking data governance,"(master data governance, 68, great)",68.0,master data governance,great
433,ib finance ref data governance,1,investment banking finance ref data governance,"(investment banking finance ref data governance, [to_fix], [investment banking finance ref data governance])",to_fix,,,investment banking finance ref data governance,"(master data governance, 59, great)",59.0,master data governance,great
434,hotitem dg consultant,1,hotitem data governance consultant,"(hotitem data governance, [level], [hotitem data governance])",level,consultant,,hotitem data governance,"(master data governance, 80, great)",80.0,master data governance,great
435,"health care operations , decision support,  process improvement",1,health care operations decision support process improvement,"(health care operations decision support process improvement, [to_fix], [health care operations decision support process improvement])",to_fix,,,health care operations decision support process improvement,"(business intelligence process, 43, great)",43.0,business intelligence process,great
436,"head of worldwide medical contact, content and insight",1,head of worldwide medical contact content and insight,"(worldwide medical contact content insight, [level], [worldwide medical contact content insight])",level,head of,,worldwide medical contact content insight,"(chief medical informatics officer, 49, great)",49.0,chief medical informatics officer,great
437,"head of strategy and architecture, standards",1,head of strategy and architecture standards,"(strategy architecture standards, [level], [strategy architecture standards])",level,head of,,strategy architecture standards,"(data architecture, 71, great)",71.0,data architecture,great
438,head of solution architecture mi-systems,1,head of solution architecture mi systems,"(solution architecture mi systems, [level], [solution architecture mi systems])",level,head of,,solution architecture mi systems,"(solutions architect, 75, common)",75.0,solutions architect,common
439,head of pmo,1,head of project management office,"(management office, [level], [management office])",level,head of project,,management office,"(data management, 63, great)",63.0,data management,great
440,head of it integration services,1,head of it integration services,"(it integration services, [level], [it integration services])",level,head of,,it integration services,"(data services, 61, great)",61.0,data services,great
441,head of it infrastructure,1,head of it infrastructure,"(it infrastructure, [level], [it infrastructure])",level,head of,,it infrastructure,"(data architecture, 53, great)",53.0,data architecture,great
442,head of information and data governance for commercial banking risk,1,head of information and data governance for commercial banking risk,"(information data governance commercial banking risk, [level], [information data governance commercial banking risk])",level,head of,,information data governance commercial banking risk,"(information governance, 60, great)",60.0,information governance,great
443,head of hr data governance and bi,1,head of hr data governance and business intelligence,"(hr data governance business intelligence, [level], [hr data governance business intelligence])",level,head of,,hr data governance business intelligence,"(business intelligence competency center, 71, great)",71.0,business intelligence competency center,great
444,head of hr data governance,1,head of hr data governance,"(hr data governance, [level], [hr data governance])",great,head of,data governance,,,91.0,data governance,great
445,head of governance | data solutions,1,head of governance data solutions,"(governance data solutions, [level], [governance data solutions])",level,head of,,governance data solutions,"(master data governance, 77, great)",77.0,master data governance,great
446,head of forecasts and network intelligence,1,head of forecasts and network intelligence,"(forecasts network intelligence, [level], [forecasts network intelligence])",level,head of,,forecasts network intelligence,"(business intelligence, 63, great)",63.0,business intelligence,great
447,head of finance design,1,head of finance design,"(finance design, [level], [finance design])",level,head of,,finance design,"(chief nursing officer, 51, great)",51.0,chief nursing officer,great
448,"head of enterprise transformation - regulatory compliance, risk management, accounting and finance",1,head of enterprise transformation regulatory compliance risk management accounting and finance,"(enterprise transformation regulatory compliance risk management accounting finance, [level], [enterprise transformation regulatory compliance risk management accounting finance])",level,head of,,enterprise transformation regulatory compliance risk management accounting finance,"(enterprise information management, 45, common)",45.0,enterprise information management,common
449,head of enterprise architecture,1,head of enterprise architecture,"(enterprise architecture, [level], [enterprise architecture])",great,head of,enterprise architect,,,93.0,enterprise architect,great
450,head of design & engineering firmwide practices (uk),1,head of design engineering firmwide practices uk,"(design engineering practices uk, [level], [design engineering practices uk])",level,head of firmwide,,design engineering practices uk,"(data engineering, 55, common)",55.0,data engineering,common
451,"head of data strategy and analytics, financial services",1,head of data strategy and analytics financial services,"(data strategy analytics financial services, [level], [data strategy analytics financial services])",level,head of,,data strategy analytics financial services,"(chief financial officer, 49, great)",49.0,chief financial officer,great
452,"head of data services, it â€“ business intelligence",1,head of data services it business intelligence,"(data services it business intelligence, [level], [data services it business intelligence])",level,head of,,data services it business intelligence,"(business intelligence process, 78, great)",78.0,business intelligence process,great
453,head of data and business insight,1,head of data and business insight,"(data business insight, [level], [data business insight])",level,head of,,data business insight,"(business solutions, 67, common)",67.0,business solutions,common
454,head of data,1,head of data,"(data, [level], [data])",level,head of,,data,"(big data, 67, great)",67.0,big data,great
455,head of business intelligence & analytics,1,head of business intelligence analytics,"(business intelligence analytics, [level], [business intelligence analytics])",level,head of,,business intelligence analytics,"(business intelligence, 81, great)",81.0,business intelligence,great
456,head of business data architecture,1,head of business data architecture,"(business data architecture, [level], [business data architecture])",level,head of,,business data architecture,"(data architecture, 79, great)",79.0,data architecture,great
457,head of bi systems support unit,1,head of business intelligence systems support unit,"(business intelligence systems support unit, [level], [business intelligence systems support unit])",level,head of,,business intelligence systems support unit,"(business intelligence process, 73, great)",73.0,business intelligence process,great
458,head of architecture and tools,1,head of architecture and tools,"(architecture tools, [level], [architecture tools])",level,head of,,architecture tools,"(data architecture, 80, great)",80.0,data architecture,great
459,head data management,1,head data management,"(data management, [great], [None])",great,head,data management,,,,,
460,"head and architect, enterprise architecture",1,head and architect enterprise architecture,"(architect enterprise architecture, [level], [architect enterprise architecture])",level,head,,architect enterprise architecture,"(enterprise architect, 75, great)",75.0,enterprise architect,great
461,hd of data governance/management,1,hd of data governance management,"(hd data governance management, [level], [hd data governance management])",level,of,,hd data governance management,"(master data governance, 75, great)",75.0,master data governance,great
462,"group technology, pmda",1,group technology pmda,"(group technology pmda, [to_fix], [group technology pmda])",to_fix,,,group technology pmda,"(information technology, 65, common)",65.0,information technology,common
463,group procurement,1,group procurement,"(group procurement, [to_fix], [group procurement])",to_fix,,,group procurement,"(group risk manager, 46, great)",46.0,group risk manager,great
464,gm,1,gm,"(gm, [to_fix], [gm])",to_fix,,,gm,"(bcbs program, 29, great)",29.0,bcbs program,great
465,global sourcing specialist,1,global sourcing specialist,"(sourcing, [level], [sourcing])",level,global specialist,,sourcing,"(risk reporting, 45, great)",45.0,risk reporting,great
466,global sourcing,1,global sourcing,"(sourcing, [level], [sourcing])",level,global,,sourcing,"(risk reporting, 45, great)",45.0,risk reporting,great
467,global leader - data innovation,1,global leader data innovation,"(data innovation, [level], [data innovation])",level,global leader,,data innovation,"(data scientist, 62, great)",62.0,data scientist,great
468,global lead - data architecture,1,global lead data architecture,"(data architecture, [great], [None])",great,global lead,data architecture,,,,,
469,global it procurement,1,global it procurement,"(it procurement, [level], [it procurement])",level,global,,it procurement,"(quality improvement, 55, great)",55.0,quality improvement,great
470,global information architect,1,global information architect,"(information architect, [great], [None])",great,global,information architect,,,,,
471,global information & business solutions,1,global information business solutions,"(information business solutions, [level], [information business solutions])",level,global,,information business solutions,"(business solutions, 75, common)",75.0,business solutions,common
472,global head of hr technology,1,global head of hr technology,"(hr technology, [level], [hr technology])",level,global head of,,hr technology,"(chief technology officer, 70, common)",70.0,chief technology officer,common
473,global head of enterprise data governance,1,global head of enterprise data governance,"(enterprise data governance, [level], [enterprise data governance])",level,global head of,,enterprise data governance,"(data governance, 73, great)",73.0,data governance,great
474,global finance information architect,1,global finance information architect,"(finance information architect, [level], [finance information architect])",level,global,,finance information architect,"(information architect, 84, great)",84.0,information architect,great
475,global data officer,1,global data officer,"(data officer, [level], [data officer])",level,global,,data officer,"(chief data officer, 80, great)",80.0,chief data officer,great
476,global data governance lead,1,global data governance lead,"(data governance, [great], [None])",great,global lead,data governance,,,,,
477,global commodity manager â€“ it & telecom,1,global commodity manager it telecom,"(commodity it telecom, [level], [commodity it telecom])",level,global manager,,commodity it telecom,"(customer intelligence, 49, great)",49.0,customer intelligence,great
478,global account executive ing insurance & inv.man.,1,global account executive ing insurance inv man,"(account ing insurance inv man, [level], [account ing insurance inv man])",level,global executive,,account ing insurance inv man,"(accounting manager, 60, great)",60.0,accounting manager,great
479,geospatial analyst,1,geospatial analyst,"(geospatial analyst, [to_fix], [geospatial analyst])",to_fix,,,geospatial analyst,"(data analyst, 73, great)",73.0,data analyst,great
480,fvp - technology group mgr,1,fvp technology group manager,"(fvp technology group, [level], [fvp technology group])",level,manager,,fvp technology group,"(information technology, 67, common)",67.0,information technology,common
481,foundational data manager,1,foundational data manager,"(foundational data, [level], [foundational data])",level,manager,,foundational data,"(data governance, 56, great)",56.0,data governance,great
482,former managing director,1,former managing director,"(former, [level], [former])",level,managing director,,former,"(controller, 50, great)",50.0,controller,great
483,firmwide chief data officer,1,firmwide chief data officer,"(chief data officer, [great], [None])",great,firmwide,chief data officer,,,,,
484,financial systems director,1,financial systems director,"(financial systems, [level], [financial systems])",level,director,financial systems,,,,,
485,finance director,1,finance director,"(finance, [level], [finance])",level,director,,finance,"(financial systems, 58, common)",58.0,financial systems,common
486,external contractor | on behalf of amos business transformation,1,external contractor on behalf of amos business transformation,"(external contractor on behalf amos business transformation, [level], [external contractor on behalf amos business transformation])",level,of,,external contractor on behalf amos business transformation,"(business intelligence competency center, 49, great)",49.0,business intelligence competency center,great
487,"executive director, service delivery",1,executive director service delivery,"(service delivery, [level], [service delivery])",level,executive director,,service delivery,"(data services, 62, great)",62.0,data services,great
488,"executive director, operational analytics",1,executive director operational analytics,"(operational analytics, [level], [operational analytics])",level,executive director,,operational analytics,"(operations analyst, 82, common)",82.0,operations analyst,common
489,"executive director, investment managent",1,executive director investment managent,"(investment managent, [level], [investment managent])",level,executive director,,investment managent,"(customer data management, 65, great)",65.0,customer data management,great
490,"executive director, enterprise information management",1,executive director enterprise information management,"(enterprise information management, [level], [enterprise information management])",level,executive director,enterprise information management,,,,,
491,"executive director, cst data strategy program director; oversight & controls portfolio manager",1,executive director cst data strategy program director oversight controls portfolio manager,"(cst data strategy program oversight controls portfolio, [level], [cst data strategy program oversight controls portfolio])",level,executive director director manager,,cst data strategy program oversight controls portfolio,"(solvency ii program manager, 42, great)",42.0,solvency ii program manager,great
492,"executive director, chief data officer",1,executive director chief data officer,"(chief data officer, [great], [None])",great,executive director,chief data officer,,,,,
493,"executive director, advisory and corporate technology",1,executive director advisory and corporate technology,"(advisory corporate technology, [level], [advisory corporate technology])",level,executive director,,advisory corporate technology,"(information technology, 63, common)",63.0,information technology,common
494,executive director	 corporate & investment bank operations,1,executive director corporate investment bank operations,"(corporate investment bank operations, [level], [corporate investment bank operations])",level,executive director,,corporate investment bank operations,"(operations analyst, 59, common)",59.0,operations analyst,common
495,executive director technology & data,1,executive director technology data,"(technology data, [level], [technology data])",level,executive director,,technology data,"(information technology, 70, common)",70.0,information technology,common
496,executive director human resources,1,executive director human resources,"(human resources, [level], [human resources])",level,executive director,,human resources,"(data services, 50, great)",50.0,data services,great
497,executive director and head of r&d operations it,1,executive director and head of operations it,"(operations it, [level], [operations it])",level,executive director head of,,operations it,"(operations analyst, 77, common)",77.0,operations analyst,common
498,executive director â–º finance & risk technology â™¦ cloud/mobile solutions â™¦ finance transformation,1,executive director finance risk technology cloud mobile solutions finance transformation,"(finance risk technology cloud mobile solutions finance transformation, [level], [finance risk technology cloud mobile solutions finance transformation])",level,executive director,,finance risk technology cloud mobile solutions finance transformation,"(information technology, 44, common)",44.0,information technology,common
499,executive director - sr program manager and pmo lead,1,executive director senior program manager and project management office lead,"(program management office, [level], [program management office])",level,executive director senior manager project lead,,program management office,"(ccar program manager, 62, great)",62.0,ccar program manager,great
500,executive director - analytics,1,executive director analytics,"(analytics, [great], [None])",great,executive director,analytics,,,,,
501,executive director - alert,1,executive director alert,"(alert, [level], [alert])",level,executive director,,alert,"(ccar, 44, great)",44.0,ccar,great
502,executive assistant to ocio/iseo,1,executive assistant to ocio iseo,"(ocio iseo, [level], [ocio iseo])",level,executive assistant,,ocio iseo,"(enterprise solutions, 48, common)",48.0,enterprise solutions,common
503,eu field medical operations manager,1,eu field medical operations manager,"(eu field medical operations, [level], [eu field medical operations])",level,manager,,eu field medical operations,"(chief medical officer, 58, great)",58.0,chief medical officer,great
504,etl developer â€“ enterprise data services,1,etl developer enterprise data services,"(etl developer enterprise data services, [to_fix], [etl developer enterprise data services])",to_fix,,,etl developer enterprise data services,"(data services, 51, great)",51.0,data services,great
505,etl developer,1,etl developer,"(etl developer, [to_fix], [etl developer])",to_fix,,,etl developer,"(developer, 82, common)",82.0,developer,common
506,erp/process transformation,1,erp process transformation,"(erp process transformation, [to_fix], [erp process transformation])",to_fix,,,erp process transformation,"(information governance, 63, great)",63.0,information governance,great
507,enterprise services team,1,enterprise services team,"(enterprise services team, [to_fix], [enterprise services team])",to_fix,,,enterprise services team,"(enterprise solutions, 64, common)",64.0,enterprise solutions,common
508,enterprise program manager,1,enterprise program manager,"(enterprise program, [level], [enterprise program])",level,manager,,enterprise program,"(enterprise solutions, 63, common)",63.0,enterprise solutions,common
509,"enterprise information management operation lead, avp",1,enterprise information management operation lead assistant vice president,"(enterprise information management operation, [level], [enterprise information management operation])",level,lead assistant vice president,,enterprise information management operation,"(enterprise information management, 87, common)",87.0,enterprise information management,common
510,enterprise information architect,1,enterprise information architect,"(enterprise information architect, [to_fix], [enterprise information architect])",to_fix,,,enterprise information architect,"(information architect, 79, great)",79.0,information architect,great
511,enterprise data office,1,enterprise data office,"(enterprise data office, [to_fix], [enterprise data office])",to_fix,,,enterprise data office,"(enterprise architect, 62, great)",62.0,enterprise architect,great
512,enterprise data governance senior manager,1,enterprise data governance senior manager,"(enterprise data governance, [level], [enterprise data governance])",level,senior manager,,enterprise data governance,"(data governance, 73, great)",73.0,data governance,great
513,enterprise data governance officer,1,enterprise data governance officer,"(enterprise data governance officer, [to_fix], [enterprise data governance officer])",to_fix,,,enterprise data governance officer,"(master data governance, 64, great)",64.0,master data governance,great
514,enterprise data | industry data standards,1,enterprise data industry data standards,"(enterprise data industry data standards, [to_fix], [enterprise data industry data standards])",to_fix,,,enterprise data industry data standards,"(data standards, 53, great)",53.0,data standards,great
515,enterprise data  architect,1,enterprise data architect,"(enterprise data architect, [to_fix], [enterprise data architect])",to_fix,,,enterprise data architect,"(enterprise architect, 89, great)",89.0,enterprise architect,great
516,enterprise architect iii,1,enterprise architect iii,"(enterprise architect iii, [to_fix], [enterprise architect iii])",great,,enterprise architect,,,91.0,enterprise architect,great
517,enterprise architecht,1,enterprise architecht,"(enterprise architecht, [to_fix], [enterprise architecht])",great,,enterprise architect,,,98.0,enterprise architect,great
518,"eim, strategy &amp; architecture lead",1,enterprise information management strategy amp architecture lead,"(enterprise information management strategy amp architecture, [level], [enterprise information management strategy amp architecture])",level,lead,,enterprise information management strategy amp architecture,"(enterprise information management, 72, common)",72.0,enterprise information management,common
519,eim manager,1,enterprise information management manager,"(enterprise information management, [level], [enterprise information management])",level,manager,enterprise information management,,,,,
520,edm director,1,edm director,"(edm, [level], [edm])",level,director,,edm,"(data steward, 27, great)",27.0,data steward,great
521,dwh responsible,1,dwh responsible,"(dwh responsible, [to_fix], [dwh responsible])",to_fix,,,dwh responsible,"(data warehouse, 48, great)",48.0,data warehouse,great
522,dw manager,1,data warehouse manager,"(data warehouse, [great], [None])",great,manager,data warehouse,,,,,
523,drg / pã´le qualitã© de donnã©es risques,1,drg le qualit de donn es risques,"(drg le qualit de donn es risques, [to_fix], [drg le qualit de donn es risques])",to_fix,,,drg le qualit de donn es risques,"(data quality manager, 46, great)",46.0,data quality manager,great
524,domain architect,1,domain architect,"(domain architect, [to_fix], [domain architect])",to_fix,,,domain architect,"(information architect, 81, great)",81.0,information architect,great
525,director. solution partnerships,1,director solution partnerships,"(solution partnerships, [level], [solution partnerships])",level,director,,solution partnerships,"(enterprise solutions, 68, common)",68.0,enterprise solutions,common
526,"director, worldwide medical reporting and insights lead",1,director worldwide medical reporting and insights lead,"(worldwide medical reporting insights, [level], [worldwide medical reporting insights])",level,director lead,,worldwide medical reporting insights,"(risk reporting, 48, great)",48.0,risk reporting,great
527,"director, tech integrations it",1,director tech integrations it,"(tech integrations it, [level], [tech integrations it])",level,director,,tech integrations it,"(information technology, 62, common)",62.0,information technology,common
528,"director, strategic data services",1,director strategic data services,"(strategic data services, [level], [strategic data services])",level,director,,strategic data services,"(data services, 72, great)",72.0,data services,great
529,"director, sales data & analytics",1,director sales data analytics,"(sales data analytics, [level], [sales data analytics])",level,director,,sales data analytics,"(data analysis, 73, common)",73.0,data analysis,common
530,"director, reference data service",1,director reference data service,"(reference data service, [level], [reference data service])",level,director,,reference data service,"(data services, 69, great)",69.0,data services,great
531,"director, project management, strategic investments products and data",1,director project management strategic investments products and data,"(management strategic investments products data, [level], [management strategic investments products data])",level,director project,,management strategic investments products data,"(market data vendor management, 53, great)",53.0,market data vendor management,great
532,"director, policy, architecture and governance",1,director policy architecture and governance,"(policy architecture governance, [level], [policy architecture governance])",level,director,,policy architecture governance,"(enterprise architect, 60, great)",60.0,enterprise architect,great
533,"director, it data services / integrations",1,director it data services integrations,"(it data services integrations, [level], [it data services integrations])",level,director,,it data services integrations,"(data services, 62, great)",62.0,data services,great
534,"director, investments it - strategic solutions",1,director investments it strategic solutions,"(investments it strategic solutions, [level], [investments it strategic solutions])",level,director,,investments it strategic solutions,"(business solutions, 58, common)",58.0,business solutions,common
535,"director, information governance",1,director information governance,"(information governance, [great], [None])",great,director,information governance,,,,,
536,"director, information and integration architecture",1,director information and integration architecture,"(information integration architecture, [level], [information integration architecture])",level,director,,information integration architecture,"(information architect, 74, great)",74.0,information architect,great
537,"director, informatics (soon to be cdo)",1,director informatics soon to be chief data officer,"(informatics soon be chief data officer, [level], [informatics soon be chief data officer])",level,director,,informatics soon be chief data officer,"(chief information officer, 73, great)",73.0,chief information officer,great
538,"director, hr data governance & business intelligence",1,director hr data governance business intelligence,"(hr data governance business intelligence, [level], [hr data governance business intelligence])",level,director,,hr data governance business intelligence,"(business intelligence competency center, 71, great)",71.0,business intelligence competency center,great
539,"director, gds program",1,director gds program,"(gds program, [level], [gds program])",level,director,,gds program,"(bcbs program, 78, great)",78.0,bcbs program,great
540,"director, financial system solutions",1,director financial system solutions,"(financial system solutions, [level], [financial system solutions])",level,director,,financial system solutions,"(financial systems, 74, common)",74.0,financial systems,common
541,"director, enterprise information management",1,director enterprise information management,"(enterprise information management, [level], [enterprise information management])",level,director,enterprise information management,,,,,
542,"director, enterprise information governance",1,director enterprise information governance,"(enterprise information governance, [level], [enterprise information governance])",level,director,,enterprise information governance,"(information governance, 80, great)",80.0,information governance,great
543,"director, enterprise data stewardship",1,director enterprise data stewardship,"(enterprise data stewardship, [level], [enterprise data stewardship])",level,director,,enterprise data stewardship,"(data stewardship, 74, great)",74.0,data stewardship,great
544,"director, enterprise data management",1,director enterprise data management,"(enterprise data management, [level], [enterprise data management])",level,director,,enterprise data management,"(data management, 73, great)",73.0,data management,great
545,"director, electronic algorithms & kinetic modeling",1,director electronic algorithms kinetic modeling,"(electronic algorithms kinetic modeling, [level], [electronic algorithms kinetic modeling])",level,director,,electronic algorithms kinetic modeling,"(information architect, 47, great)",47.0,information architect,great
546,"director, data warehouse development",1,director data warehouse development,"(data warehouse development, [level], [data warehouse development])",level,director,,data warehouse development,"(data warehouse, 70, great)",70.0,data warehouse,great
547,"director, data scientist, r&d team",1,director data scientist team,"(data scientist team, [level], [data scientist team])",level,director,,data scientist team,"(data scientist, 85, great)",85.0,data scientist,great
548,"director, data management",1,director data management,"(data management, [great], [None])",great,director,data management,,,,,
549,"director, data governance",1,director data governance,"(data governance, [great], [None])",great,director,data governance,,,,,
550,"director, data engineering",1,director data engineering,"(data engineering, [level], [data engineering])",level,director,data engineering,,,,,
551,"director, customer data management",1,director customer data management,"(customer data management, [great], [None])",great,director,customer data management,,,,,
552,"director, commercial contracts at inc research",1,director commercial contracts at inc research,"(commercial contracts at inc research, [level], [commercial contracts at inc research])",level,director,,commercial contracts at inc research,"(master data governance, 48, great)",48.0,master data governance,great
